Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount,CitationCount_CrossRef,PubsCited_CrossRef,Downloads_Xplore,Award,GraphicsReplicabilityStamp
Vis,2023,Vistrust: a Multidimensional Framework and Empirical Study of Trust in Data Visualizations,10.1109/tvcg.2023.3326579,http://dx.doi.org/10.1109/TVCG.2023.3326579,348,358,J,Hamza Elhamdadi;Adam Stefkovics;Johanna Beyer;Eric Mörth;Hanspeter Pfister;Cindy Xiong Bearfield;Carolina Nobre,Hamza Elhamdadi;Adam Stefkovics;Johanna Beyer;Eric Moerth;Hanspeter Pfister;Cindy Xiong Bearfield;Carolina Nobre,"UMass Amherst, USA;HUN-REN Centre for Social Sciences, USA;Harvard University, USA;Harvard Medical School, USA;Harvard University, USA;UMass Amherst, USA;University of Toronto, Canada",10.1109/tvcg.2016.2598544;10.1109/tvcg.2020.3028984;10.1109/tvcg.2017.2745240;10.1109/tvcg.2016.2598920;10.1109/tvcg.2022.3209457;10.1109/tvcg.2015.2467591,"Trust,visualization,science,framework",,3,62,307,,
Vis,2023,InkSight: Leveraging Sketch Interaction for Documenting Chart Findings in Computational Notebooks,10.1109/tvcg.2023.3327170,http://dx.doi.org/10.1109/TVCG.2023.3327170,944,954,J,Yanna Lin;Haotian Li 0001;Leni Yang;Aoyu Wu;Huamin Qu,Yanna Lin;Haotian Li;Leni Yang;Aoyu Wu;Huamin Qu,"Hong Kong University of Science and Technology, China;Hong Kong University of Science and Technology, China;Hong Kong University of Science and Technology, China;Harvard University, USA;Hong Kong University of Science and Technology, China",10.1109/tvcg.2019.2934785;10.1109/tvcg.2021.3114802;10.1109/tvcg.2013.191;10.1109/tvcg.2020.3030378;10.1109/tvcg.2022.3209421;10.1109/tvcg.2020.3030403;10.1109/tvcg.2018.2865145;10.1109/tvcg.2012.275;10.1109/tvcg.2022.3209357;10.1109/tvcg.2019.2934398;10.1109/tvcg.2021.3114826;10.1109/tvcg.2021.3114774;10.1109/tvcg.2019.2934668,"Computational Notebook,Sketch-based Interaction,Documentation,Visualization,Exploratory Data Analysis",,3,58,249,,
Vis,2023,InvVis: Large-Scale Data Embedding for Invertible Visualization,10.1109/tvcg.2023.3326597,http://dx.doi.org/10.1109/TVCG.2023.3326597,1139,1149,J,Huayuan Ye;Chenhui Li;Yang Li;Changbo Wang,Huayuan Ye;Chenhui Li;Yang Li;Changbo Wang,"School of Computer Science and Technology, East China Normal University, China;School of Computer Science and Technology, East China Normal University, China;School of Computer Science and Technology, East China Normal University, China;School of Computer Science and Technology, East China Normal University, China",10.1109/tvcg.2019.2934810;10.1109/tvcg.2020.3030351;10.1109/tvcg.2017.2744320;10.1109/tvcg.2020.3030343,"Information visualization,information steganography,invertible visualization,invertible neural network",,3,57,218,,
Vis,2023,AttentionViz: A Global View of Transformer Attention,10.1109/tvcg.2023.3327163,http://dx.doi.org/10.1109/TVCG.2023.3327163,262,272,J,Catherine Yeh;Yida Chen;Aoyu Wu;Cynthia Chen;Fernanda B. Viégas;Martin Wattenberg,Catherine Yeh;Yida Chen;Aoyu Wu;Cynthia Chen;Fernanda Viégas;Martin Wattenberg,"Harvard University, USA;Harvard University, USA;Harvard University, USA;Harvard University, USA;Harvard University, USA;Harvard University, USA",10.1109/tvcg.2020.3028976;10.1109/tvcg.2019.2934659;10.1109/tvcg.2021.3114683;10.1109/vast.2018.8802454;10.1109/tvcg.2022.3209458;10.1109/tvcg.2018.2865044,"Transformer,Attention,NLP,Computer Vision,Visual Analytics",,2,62,502,,
Vis,2023,"Swaying the Public? Impacts of Election Forecast Visualizations on Emotion, Trust, and Intention in the 2022 U.S. Midterms",10.1109/tvcg.2023.3327356,http://dx.doi.org/10.1109/TVCG.2023.3327356,23,33,J,Fumeng Yang;Mandi Cai;Chloe Mortenson;Hoda Fakhari;Ayse D. Lokmanoglu;Jessica Hullman;Steven Franconeri;Nicholas Diakopoulos;Erik C. Nisbet;Matthew Kay 0001,Fumeng Yang;Mandi Cai;Chloe Mortenson;Hoda Fakhari;Ayse D. Lokmanoglu;Jessica Hullman;Steven Franconeri;Nicholas Diakopoulos;Erik C. Nisbet;Matthew Kay,"Northwestern University, USA;Northwestern University, USA;Northwestern University, USA;Northwestern University, USA;Northwestern University, USA;Northwestern University, USA;Northwestern University, USA;Northwestern University, USA;Northwestern University, USA;Northwestern University, USA",10.1109/tvcg.2014.2346298;10.1109/tvcg.2019.2934287;10.1109/tvcg.2020.3030335;10.1109/tvcg.2022.3209500;10.1109/tvcg.2022.3209457;10.1109/tvcg.2022.3209348;10.1109/tvcg.2022.3209383;10.1109/tvcg.2021.3114679,"Uncertainty visualization,Probabilistic forecasts,Elections,Emotions,Trust,Political participation,Longitudinal study",,2,92,481,BP,
Vis,2023,Socrates: Data Story Generation via Adaptive Machine-Guided Elicitation of User Feedback,10.1109/tvcg.2023.3327363,http://dx.doi.org/10.1109/TVCG.2023.3327363,131,141,J,Guande Wu;Shunan Guo;Jane Hoffswell;Gromit Yeuk-Yin Chan;Ryan A. Rossi;Eunyee Koh,Guande Wu;Shunan Guo;Jane Hoffswell;Gromit Yeuk-Yin Chan;Ryan A. Rossi;Eunyee Koh,"New York University, USA;Adobe Research, USA;Adobe Research, USA;Adobe Research, USA;Adobe Research, USA;Adobe Research, USA",10.1109/tvcg.2016.2598647;10.1109/tvcg.2015.2467732;10.1109/tvcg.2011.185;10.1109/tvcg.2013.124;10.1109/tvcg.2016.2598468;10.1109/tvcg.2021.3114804;10.1109/tvcg.2021.3114806;10.1109/vast.2015.7347625;10.1109/tvcg.2019.2934785;10.1109/tvcg.2012.260;10.1109/tvcg.2013.119;10.1109/tvcg.2021.3114802;10.1109/tvcg.2022.3209421;10.1109/tvcg.2010.179;10.1109/tvcg.2020.3030403;10.1109/tvcg.2022.3209428;10.1109/tvcg.2020.3030467;10.1109/tvcg.2017.2745078;10.1109/tvcg.2019.2934398;10.1109/tvcg.2021.3114826;10.1109/tvcg.2021.3114774,"Narrative visualization,visual storytelling,conversational agent",,2,79,348,,
Vis,2023,Leveraging Historical Medical Records as a Proxy via Multimodal Modeling and Visualization to Enrich Medical Diagnostic Learning,10.1109/tvcg.2023.3326929,http://dx.doi.org/10.1109/TVCG.2023.3326929,1238,1248,J,Yang Ouyang;Yuchen Wu;He Wang;Chenyang Zhang;Furui Cheng;Chang Jiang;Lixia Jin;Yuanwu Cao;Quan Li,Yang Ouyang;Yuchen Wu;He Wang;Chenyang Zhang;Furui Cheng;Chang Jiang;Lixia Jin;Yuanwu Cao;Quan Li,"School of Information Science and Technology, ShanghaiTech University, and Shanghai Engineering Research Center of Intelligent Vision and Imaging, China;School of Information Science and Technology, ShanghaiTech University, and Shanghai Engineering Research Center of Intelligent Vision and Imaging, China;School of Information Science and Technology, ShanghaiTech University, and Shanghai Engineering Research Center of Intelligent Vision and Imaging, China;Department of Computer Science, University of Illinois at Urbana-Champaign, USA;Department of Computer Science, ETH Zürich, Switzerland;Zhongshan Hospital Fudan University, China;Zhongshan Hospital Fudan University, China;Zhongshan Hospital Fudan University, China;School of Information Science and Technology, ShanghaiTech University, and Shanghai Engineering Research Center of Intelligent Vision and Imaging, China",10.1109/tvcg.2020.3030437;10.1109/tvcg.2018.2865027;10.1109/vast.2018.8802454;10.1109/tvcg.2021.3114840,"Multimodal Medical Dataset,Visual Analytics,Explainable Machine Learning",,2,74,310,,
Vis,2023,The Urban Toolkit: A Grammar-Based Framework for Urban Visual Analytics,10.1109/tvcg.2023.3326598,http://dx.doi.org/10.1109/TVCG.2023.3326598,1402,1412,J,Gustavo Moreira;Maryam Hosseini;Md Nafiul Alam Nipu;Marcos Lage;Nivan Ferreira;Fabio Miranda 0001,Gustavo Moreira;Maryam Hosseini;Md Nafiul Alam Nipu;Marcos Lage;Nivan Ferreira;Fabio Miranda,"University of Illinois Chicago, USA;Massachusetts Institute of Technology, USA;University of Illinois Chicago, USA;Universidade Federal Fluminense, Brazil;Universidade Federal de Pernambuco, Brazil;University of Illinois Chicago, USA",10.1109/vast.2009.5332584;10.1109/tvcg.2009.174;10.1109/tvcg.2011.185;10.1109/tvcg.2007.70574;10.1109/tvcg.2015.2467619;10.1109/tvcg.2006.144;10.1109/tvcg.2019.2934670;10.1109/vast.2015.7347636;10.1109/tvcg.2013.226;10.1109/tvcg.2015.2467449;10.1109/tvcg.2021.3114876;10.1109/tvcg.2014.2346926;10.1109/tvcg.2016.2598585;10.1109/tvcg.2022.3209474;10.1109/tvcg.2014.2346318;10.1109/tvcg.2018.2865158;10.1109/tvcg.2016.2599030;10.1109/tvcg.2015.2467091;10.1109/tvcg.2012.213;10.1109/tvcg.2018.2864841;10.1109/tvcg.2018.2865152;10.1109/tvcg.2010.180;10.1109/tvcg.2010.177;10.1109/tvcg.2022.3209369,"Urban visual analytics,Urban analytics,Urban data,Visualization toolkit",,2,74,295,,
Vis,2023,TactualPlot: Spatializing Data as Sound Using Sensory Substitution for Touchscreen Accessibility,10.1109/tvcg.2023.3326937,http://dx.doi.org/10.1109/TVCG.2023.3326937,836,846,J,Pramod Chundury;Yasmin Reyazuddin;J. Bern Jordan;Jonathan Lazar;Niklas Elmqvist,Pramod Chundury;Yasmin Reyazuddin;J. Bern Jordan;Jonathan Lazar;Niklas Elmqvist,"University of Maryland, College Park, College Park, MD, USA;National Federation of the Blind, Baltimore, MD, USA;University of Maryland, College Park, College Park, MD, USA;University of Maryland, College Park, College Park, MD, USA;Aarhus University, Aarhus, Denmark",10.1109/tvcg.2013.124;10.1109/tvcg.2021.3114829;10.1109/tvcg.2021.3114846;10.1109/tvcg.2018.2865237;10.1109/tvcg.2017.2744184;10.1109/tvcg.2016.2598498,"Accessibility,sonification,multimodal interaction,crossmodal interaction,visualization",,2,61,212,,
Vis,2023,Data Navigator: An Accessibility-Centered Data Navigation Toolkit,10.1109/tvcg.2023.3327393,http://dx.doi.org/10.1109/TVCG.2023.3327393,803,813,J,Frank Elavsky;Lucas Nadolskis;Dominik Moritz,Frank Elavsky;Lucas Nadolskis;Dominik Moritz,"Carnegie Mellon University, USA;Carnegie Mellon University, USA;Carnegie Mellon University, USA",10.1109/tvcg.2011.185;10.1109/tvcg.2021.3114829;10.1109/tvcg.2021.3114846;10.1109/tvcg.2021.3114770;10.1109/tvcg.2016.2599030,"accessibility,visualization,tools,technical materials,platforms,data interaction",,2,47,192,,
Vis,2023,Adaptively Placed Multi-Grid Scene Representation Networks for Large-Scale Data Visualization,10.1109/tvcg.2023.3327194,http://dx.doi.org/10.1109/TVCG.2023.3327194,965,974,J,Skylar W. Wurster;Tianyu Xiong;Han-Wei Shen;Hanqi Guo 0001;Tom Peterka,Skylar W. Wurster;Tianyu Xiong;Han-Wei Shen;Hanqi Guo;Tom Peterka,"The Ohio State University, USA;The Ohio State University, USA;The Ohio State University, USA;The Ohio State University, USA;The Ohio State University, USA",10.1109/tvcg.2012.274,"Scene representation network,deep learning,scientific visualization,volume rendering",,2,35,161,,
Vis,2023,Dataopsy: Scalable and Fluid Visual Exploration using Aggregate Query Sculpting,10.1109/tvcg.2023.3326594,http://dx.doi.org/10.1109/TVCG.2023.3326594,186,196,J,Md. Naimul Hoque;Niklas Elmqvist,Md Naimul Hoque;Niklas Elmqvist,"University of Maryland, College Park, College Park, MD, USA;Aarhus University, Aarhus, Denmark",10.1109/tvcg.2006.120;10.1109/vast47406.2019.8986948;10.1109/tvcg.2016.2598624;10.1109/tvcg.2012.252;10.1109/tvcg.2008.153;10.1109/tvcg.2022.3209484;10.1109/tvcg.2013.223;10.1109/tvcg.2009.145;10.1109/tvcg.2022.3209421;10.1109/tvcg.2006.166;10.1109/tvcg.2006.142;10.1109/infvis.2000.885086;10.1109/tvcg.2009.108;10.1109/tvcg.2015.2467051,"Multidimensional data visualization,multivariate graphs,visual queries,visual exploration",,2,54,153,,
Vis,2023,From Shock to Shift: Data Visualization for Constructive Climate Journalism,10.1109/tvcg.2023.3327185,http://dx.doi.org/10.1109/TVCG.2023.3327185,1413,1423,J,Francesca Morini;Anna Eschenbacher;Johanna Hartmann;Marian Dörk,Francesca Morini;Anna Eschenbacher;Johanna Hartmann;Marian Dörk,"Södertörn University and University of Applied Sciences Potsdam, Germany;Filmuniversität Babelsberg, Germany;Filmuniversität Babelsberg, Germany;University of Applied Sciences Potsdam, Germany",10.1109/tvcg.2014.2346323;10.1109/tvcg.2012.213;10.1109/tvcg.2016.2598647;10.1109/tvcg.2012.221,"Constructive Climate Journalism,Frameworks,Storytelling,Journalism",,1,57,784,,
Vis,2023,Dead or Alive: Continuous Data Profiling for Interactive Data Science,10.1109/tvcg.2023.3327367,http://dx.doi.org/10.1109/TVCG.2023.3327367,197,207,J,Will Epperson;Vaishnavi Gorantla;Dominik Moritz;Adam Perer,Will Epperson;Vaishnavi Gorantla;Dominik Moritz;Adam Perer,"Carnegie Mellon University, USA;Carnegie Mellon University, USA;Carnegie Mellon University, USA;Carnegie Mellon University, USA",10.1109/tvcg.2018.2865040;10.1109/tvcg.2012.219;10.1109/tvcg.2015.2467191,"Data Profiling,Data Quality,Exploratory Data Analysis,Interactive Data Science",,1,51,607,HM,
Vis,2023,Heuristics for Supporting Cooperative Dashboard Design,10.1109/tvcg.2023.3327158,http://dx.doi.org/10.1109/TVCG.2023.3327158,370,380,J,Vidya Setlur;Michael Correll;Arvind Satyanarayan;Melanie Tory,Vidya Setlur;Michael Correll;Arvind Satyanarayan;Melanie Tory,"Tableau Research, USA;Tableau Research, USA;MIT CSAIL, USA;Northeastern University, USA",10.1109/tvcg.2022.3209448;10.1109/tvcg.2021.3114760;10.1109/tvcg.2020.3030338;10.1109/tvcg.2019.2934283;10.1109/tvcg.2016.2599058;10.1109/tvcg.2017.2744684;10.1109/tvcg.2017.2745240;10.1109/tvcg.2021.3114860;10.1109/tvcg.2017.2744319;10.1109/tvcg.2022.3209500;10.1109/tvcg.2022.3209451;10.1109/tvcg.2017.2744198;10.1109/tvcg.2018.2864903;10.1109/tvcg.2022.3209409;10.1109/tvcg.2018.2865145;10.1109/tvcg.2017.2745219;10.1109/vast47406.2019.8986918;10.1109/vast.2017.8585669;10.1109/tvcg.2021.3114862;10.1109/tvcg.2021.3114826;10.1109/tvcg.2022.3209493,"Gricean maxims,interactive visualization,conversation initiation,grounding,turn-taking,repair and refinement",,1,99,526,,
Vis,2023,TimeSplines: Sketch-Based Authoring of Flexible and Idiosyncratic Timelines,10.1109/tvcg.2023.3326520,http://dx.doi.org/10.1109/TVCG.2023.3326520,34,44,J,Anna Offenwanger;Matthew Brehmer;Fanny Chevalier;Theophanis Tsandilas,Anna Offenwanger;Matthew Brehmer;Fanny Chevalier;Theophanis Tsandilas,"Université Paris Saclay, CRNS, Inria, LISN, France;Tableau Research, USA;Departments of Computer Science and Statistical Sciences, University of Toronto, Canada;Université Paris Saclay, CRNS, Inria, LISN, France",10.1109/tvcg.2015.2467851;10.1109/tvcg.2016.2598609;10.1109/tvcg.2011.185;10.1109/tvcg.2016.2598876;10.1109/tvcg.2017.2744118;10.1109/tvcg.2013.191;10.1109/tvcg.2022.3209451;10.1109/tvcg.2013.200;10.1109/tvcg.2021.3114959;10.1109/tvcg.2017.2743918;10.1109/tvcg.2018.2865158;10.1109/tvcg.2019.2934281;10.1109/tvcg.2015.2467153;10.1109/tvcg.2012.212;10.1109/tvcg.2020.3030476;10.1109/infvis.1999.801851;10.1109/tvcg.2015.2467751;10.1109/tvcg.2018.2865076;10.1109/tvcg.2011.195,"Temporal Data,interaction design,communication / presentation,storytelling,sketch-based interface,lazy data binding",,1,79,520,BP,
